ISIN,Issuer,information
GB0030883150,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT),"{""identity"":""257"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":1.104109589041096,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""GB-GILT"",""type"":""BOND"",""timeToMaturityDays"":403,""ISIN"":""GB0030883150"",""ratingScore"":""98"",""price"":99.947,""maturityDate"":""2018/07/09"",""yield"":0,""minUnitValue"":0.01,""name"":""UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT)"",""currency"":""GBP"",""id"":""GB0030883150"",""minUnit"":1,""issueDate"":""2002/02/04""}}"
GB0030883267,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT),"{""identity"":""258"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":2.0876712328767124,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""GB-GILT"",""type"":""BOND"",""timeToMaturityDays"":762,""ISIN"":""GB0030883267"",""ratingScore"":""98"",""price"":99.9075,""maturityDate"":""2019/07/03"",""yield"":0,""minUnitValue"":0.01,""name"":""UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT)"",""currency"":""GBP"",""id"":""GB0030883267"",""minUnit"":1,""issueDate"":""2002/02/04""}}"
GB0030883606,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT),"{""identity"":""259"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":3.106849315068493,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""GB-GILT"",""type"":""BOND"",""timeToMaturityDays"":1134,""ISIN"":""GB0030883606"",""ratingScore"":""98"",""price"":99.454,""maturityDate"":""2020/07/09"",""yield"":0,""minUnitValue"":0.01,""name"":""UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT)"",""currency"":""GBP"",""id"":""GB0030883606"",""minUnit"":1,""issueDate"":""2002/02/04""}}"
GB0030883713,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT),"{""identity"":""260"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":4.090410958904109,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""GB-GILT"",""type"":""BOND"",""timeToMaturityDays"":1493,""ISIN"":""GB0030883713"",""ratingScore"":""98"",""price"":99.174,""maturityDate"":""2021/07/03"",""yield"":0,""minUnitValue"":0.01,""name"":""UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT)"",""currency"":""GBP"",""id"":""GB0030883713"",""minUnit"":1,""issueDate"":""2002/02/04""}}"
GB00B0BDTB14,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT),"{""identity"":""261"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":31.117808219178084,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""GB-GILT"",""type"":""BOND"",""timeToMaturityDays"":11358,""ISIN"":""GB00B0BDTB14"",""ratingScore"":""98"",""price"":58.6665,""maturityDate"":""2048/07/06"",""yield"":0,""minUnitValue"":0.01,""name"":""UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT)"",""currency"":""GBP"",""id"":""GB00B0BDTB14"",""minUnit"":1,""issueDate"":""2005/07/12""}}"
GB00B1HYR000,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT),"{""identity"":""262"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":10.117808219178082,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""GB-GILT"",""type"":""BOND"",""timeToMaturityDays"":3693,""ISIN"":""GB00B1HYR000"",""ratingScore"":""98"",""price"":88.7665,""maturityDate"":""2027/07/12"",""yield"":0,""minUnitValue"":0.01,""name"":""UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT)"",""currency"":""GBP"",""id"":""GB00B1HYR000"",""minUnit"":1,""issueDate"":""2006/06/09""}}"
US912796LC15,"UNITED STATES OF AMERICA, OF FEDERAL (GOVERNMENT)","{""identity"":""271"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":100,""idType"":""ISIN"",""rating"":""AAA"",""timeToMaturityYears"":0.8328767123287671,""ACUOCategory"":""MM Instruments"",""ICADCode"":""US-TBILL"",""type"":""TBILL"",""timeToMaturityDays"":304,""ISIN"":""US912796LC15"",""ratingScore"":""100"",""price"":1.05,""maturityDate"":""2018/04/01"",""yield"":0,""minUnitValue"":100,""name"":""UNITED STATES TREASURY"",""currency"":""USD"",""id"":""US912796LC15"",""minUnit"":1,""issueDate"":""2017/05/01""}}"
US912796LJ67,"UNITED STATES OF AMERICA, OF FEDERAL (GOVERNMENT)","{""identity"":""272"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":100,""idType"":""ISIN"",""rating"":""AAA"",""timeToMaturityYears"":0.589041095890411,""ACUOCategory"":""MM Instruments"",""ICADCode"":""US-TBILL"",""type"":""TBILL"",""timeToMaturityDays"":215,""ISIN"":""US912796LJ67"",""ratingScore"":""100"",""price"":1.0475,""maturityDate"":""2018/01/02"",""yield"":0,""minUnitValue"":100,""name"":""UNITED STATES TREASURY"",""currency"":""USD"",""id"":""US912796LJ67"",""minUnit"":1,""issueDate"":""2017/02/02""}}"
US912803AT02,"UNITED STATES OF AMERICA, OF FEDERAL (GOVERNMENT)","{""identity"":""273"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":100,""idType"":""ISIN"",""timeToMaturityYears"":2.956164383561644,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""US-STRIP"",""type"":""TSTRIP"",""timeToMaturityDays"":1079,""ISIN"":""US912803AT02"",""ratingScore"":""100"",""price"":95.762,""maturityDate"":""2020/05/15"",""yield"":0,""minUnitValue"":100,""name"":""UNITED STATES TREASURY"",""currency"":""USD"",""id"":""US912803AT02"",""minUnit"":1,""issueDate"":""1990/05/15""}}"
US912803AU74,"UNITED STATES OF AMERICA, OF FEDERAL (GOVERNMENT)","{""identity"":""274"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":100,""idType"":""ISIN"",""timeToMaturityYears"":3.208219178082192,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""US-STRIP"",""type"":""TSTRIP"",""timeToMaturityDays"":1171,""ISIN"":""US912803AU74"",""ratingScore"":""100"",""price"":95.2435,""maturityDate"":""2020/08/15"",""yield"":0,""minUnitValue"":100,""name"":""UNITED STATES TREASURY"",""currency"":""USD"",""id"":""US912803AU74"",""minUnit"":1,""issueDate"":""1990/08/15""}}"
US912803DQ36,"UNITED STATES OF AMERICA, OF FEDERAL (GOVERNMENT)","{""identity"":""275"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":100,""idType"":""ISIN"",""timeToMaturityYears"":23.726027397260275,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""US-STRIP"",""type"":""TSTRIP"",""timeToMaturityDays"":8660,""ISIN"":""US912803DQ36"",""ratingScore"":""100"",""price"":50.202,""maturityDate"":""2041/02/15"",""yield"":0,""minUnitValue"":100,""name"":""UNITED STATES TREASURY"",""currency"":""USD"",""id"":""US912803DQ36"",""minUnit"":1,""issueDate"":""2011/02/15""}}"
US912796KT58,UNITED STATES TREASURY,"{""identity"":""175"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":100,""idType"":""ISIN"",""rating"":""AAA"",""timeToMaturityYears"":4.712328767123288,""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""US-TBILL"",""type"":""TBILL"",""timeToMaturityDays"":1720,""ISIN"":""US912796KT58"",""ratingScore"":""100"",""price"":100.624,""maturityDate"":""2022/02/15"",""yield"":0,""minUnitValue"":100,""name"":""TREASURY BOND"",""currency"":""USD"",""id"":""US912796KT58"",""minUnit"":1,""issueDate"":""2012/02/08""}}"
